date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:57	616522/616522	---M--	200	added ('OK')	image/jpeg	etag:%221a2ad2f6bb351516c5e3df10d6e450c3%22	https://images-pw.pixieset.com/elementfield/741547311/IMG_9715-b5b99703-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9715-b5b99703-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:57	1099207/1099207	---M--	200	added ('OK')	image/jpeg	etag:%22b63c581a804507445275293ad28ccff9%22	https://images-pw.pixieset.com/elementfield/741547311/IMG_9562-f07f8987-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9562-f07f8987-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:37:58	1304036/1304036	---M--	200	added ('OK')	image/jpeg	etag:%22bebf95a70da2e025c70d05aef038a4c4%22	https://images-pw.pixieset.com/elementfield/741547311/IMG_9830-161337c0-2500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/741547311/IMG_9830-161337c0-2500.jpg	(from https://guruphotography.mypixieset.com/wedding/)
12:38:00	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:07:59%20GMT	http://images-pw.pixieset.com/elementfield/451547311/IMG_9102-c2caf794-1000.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/451547311/IMG_9102-c2caf794-1000.jpg	(from https://guruphotography.mypixieset.com/engagement/)
12:39:45	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:08:01%20GMT	http://images-pw.pixieset.com/elementfield/451547311/IMG_8074-80417ab4-1000.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/451547311/IMG_8074-80417ab4-1000.jpg	(from https://guruphotography.mypixieset.com/engagement/)
12:39:45	557617/557617	---M--	200	added ('OK')	image/jpeg	etag:%2230949f67df6afcfc890496b9a734656a%22	https://images-pw.pixieset.com/elementfield/451547311/IMG_9102-f497490d-1500.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/451547311/IMG_9102-f497490d-1500.jpg	(from https://guruphotography.mypixieset.com/engagement/)
12:39:45	268479/268479	---M--	200	added ('OK')	image/jpeg	etag:%22fe3f64d390e6bd53c74c28215304ccbe%22	https://images-pw.pixieset.com/elementfield/451547311/IMG_9102-c2caf794-1000.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/451547311/IMG_9102-c2caf794-1000.jpg	(from https://guruphotography.mypixieset.com/engagement/)
12:39:48	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:09:46%20GMT	http://images-pw.pixieset.com/elementfield/451547311/IMG_8101-72f6f847-1000.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/451547311/IMG_8101-72f6f847-1000.49.delayed	(from https://guruphotography.mypixieset.com/engagement/)
12:39:48	225950/225950	---M--	200	added ('OK')	image/jpeg	etag:%2252527607a15908879e2f16430116c241%22	https://images-pw.pixieset.com/elementfield/451547311/IMG_8074-80417ab4-1000.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/451547311/IMG_8074-80417ab4-1000.jpg	(from https://guruphotography.mypixieset.com/engagement/)
12:40:17	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2007:09:49%20GMT	http://images-pw.pixieset.com/elementfield/451547311/IMG_8886_1-21843ca4-1000.jpg	/storage/emulated/0/HTTrack/Websites/staging/images-pw.pixieset.com/elementfield/451547311/IMG_8886_1-21843ca4-1000.jpg	(from https://guruphotography.mypixieset.com/engagement/)
